Date,Hedged price,Unhedged price,Order-Manual-Hedged,Order-Manual-Unhedged,Order-Manual Total,Order-AI-Hedged,Order-AI-Unhedged,Order-AI-Total,Demand,Manual-stock,AI-Stock,Manual-storage-cost,AI-storage-cost,AI Total,Capacity-Hedged,Capacity-Unhedged,Lead-Time-Hedged,Lead-Time-Unhedged
4/1/25,1.528815789,1.411210526,4886.831276,4886.831276,9773.662551,4886.831276,6232,11118.83128,10314.28571,4578.559031,2113.168724,254.2857143,254.2857143,640126.0497,20000,20000,0,0
5/1/25,1.580690789,0,4886.831276,192.9012346,5079.73251,4886.831276,7000,11886.83128,5907.138297,3751.153244,8920.26749,27.14285714,27.14285714,403674.1917,15000,20000,0,0
6/1/25,1.623769737,1.461394737,4886.831276,5015.432099,9902.263374,4886.831276,7000,11886.83128,5625.757321,8027.659298,10904.83539,261.4285714,261.4285714,371621.6197,15000,20000,0,0
7/1/25,1.623769737,0.974263158,4886.831276,3440.072016,8326.903292,4886.831276,7000,11886.83128,6433.982616,9920.579974,14464.76337,250,250,290004.2105,15000,20000,0,0
8/1/25,1.623769737,0.974263158,4886.831276,3440.072016,8326.903292,4886.831276,6657.921811,11544.75309,6493.908113,11753.57515,17682.61317,228.5714286,611.4844209,238437.8562,15000,20000,0,0
9/1/25,1.623769737,0.324756579,4886.831276,1350.308642,6237.139918,4886.831276,3279.318683,8166.149959,6071.232631,11919.48244,19611.62321,95.71428571,1005.825985,158992.6233,15000,20000,0,0
10/1/25,1.721953488,1.721953488,2764.917695,2443.415638,5208.333333,2764.917695,10000,12764.9177,6403.815831,10723.99994,17168.20757,175.7142857,1308.479755,285847.8056,15000,20000,0,0
11/1/25,1.720433106,1.720433106,2767.361111,3469.778807,6237.139918,2767.361111,0,2767.361111,6026.484889,10934.65497,13698.42877,214.2857143,1134.148547,178784.7658,15000,20000,0,0
12/1/25,1.720433106,2.293903062,2767.361111,4530.735597,7298.096708,2767.361111,0,2767.361111,4479.798574,13752.9531,9167.693169,221.4285714,818.2308886,0,15000,20000,0,0
1/1/26,1.720433106,0.286734978,2767.361111,865.6121399,3632.973251,2767.361111,0,2767.361111,4284.164832,13101.76152,8302.081029,78.57142857,505.1703727,0,15000,20000,0,0
2/1/26,1.720433106,1.43368651,2767.361111,2955.375514,5722.736626,2767.361111,0,2767.361111,3874.815871,14949.68228,5346.705514,81.42857143,259.252714,0,15000,20000,0,0
3/1/26,1.720433106,1.146951531,2767.361111,2440.972222,5208.333333,2767.361111,0,2767.361111,3826.840185,16331.17542,2905.733292,87.14285714,19.04934098,0,15000,20000,0,0
