month,purchase_planned,purchase_actual,consumption_planned,consumption_actual,cb_planned,cb_actual,inv_days_actual,,Consumption planned
Apr-25,504,504,-361,-355,377,383,28,,361
May-25,261,261,-420,-404,224,239,19,,420
Jun-25,508,508,-344,-385,404,363,25,,344
Jul-25,428,,-436,,396,,,,436
Aug-25,428,,-443,,382,,,,443
Sep-25,268,,-420,,229,,,,420
Oct-25,375,,-410,,194,,,,410
Nov-25,321,,-327,,188,,,,327
Dec-25,401,,-318,,271,,,,318
Jan-26,187,,-316,,142,,,,316
Feb-26,268,,-269,,141,,,,269
Mar-26,294,,-265,,170,,,,265
